Timestamp,Active (W)
2022-11-07 17:28:46,0.0
2022-11-07 17:28:47,0.0
2022-11-07 17:28:48,0.0
2022-11-07 17:28:49,0.0
2022-11-07 17:28:50,0.0
2022-11-07 17:28:51,0.0
2022-11-07 17:28:52,0.0
2022-11-07 17:28:53,0.0
2022-11-07 17:28:54,0.0
2022-11-07 17:28:55,7.65
2022-11-07 17:28:56,2.64
2022-11-07 17:28:57,2.47
2022-11-07 17:28:58,77.21
2022-11-07 17:28:59,90.99
2022-11-07 17:29:00,15.47
2022-11-07 17:29:01,12.68
2022-11-07 17:29:02,12.13
2022-11-07 17:29:03,13.91
2022-11-07 17:29:04,13.02
2022-11-07 17:29:05,12.99
2022-11-07 17:29:06,12.71
2022-11-07 17:29:07,11.89
2022-11-07 17:29:08,12.07
2022-11-07 17:29:09,12.27
2022-11-07 17:29:10,12.14
2022-11-07 17:29:11,12.04
2022-11-07 17:29:12,18.61
2022-11-07 17:29:13,29.0
2022-11-07 17:29:14,29.89
2022-11-07 17:29:15,30.0
2022-11-07 17:29:16,30.08
2022-11-07 17:29:17,29.82
2022-11-07 17:29:18,30.52
2022-11-07 17:29:19,30.82
2022-11-07 17:29:20,30.75
2022-11-07 17:29:21,30.14
2022-11-07 17:29:22,30.71
2022-11-07 17:29:23,30.96
2022-11-07 17:29:24,30.77
2022-11-07 17:29:25,30.86
2022-11-07 17:29:26,30.45
2022-11-07 17:29:27,30.27
2022-11-07 17:29:28,30.64
2022-11-07 17:29:29,30.43
2022-11-07 17:29:30,30.43
2022-11-07 17:29:31,30.71
2022-11-07 17:29:32,30.54
2022-11-07 17:29:33,30.47
2022-11-07 17:29:34,30.75
2022-11-07 17:29:35,30.49
2022-11-07 17:29:36,30.38
2022-11-07 17:29:37,30.5
2022-11-07 17:29:38,30.68
2022-11-07 17:29:39,31.38
2022-11-07 17:29:40,31.31
2022-11-07 17:29:41,31.25
2022-11-07 17:29:42,31.44
2022-11-07 17:29:43,31.51
2022-11-07 17:29:44,31.1
2022-11-07 17:29:45,31.54
2022-11-07 17:29:46,31.3
2022-11-07 17:29:47,31.51
2022-11-07 17:29:48,31.43
2022-11-07 17:29:49,31.62
2022-11-07 17:29:50,31.5
2022-11-07 17:29:51,30.74
2022-11-07 17:29:52,30.73
2022-11-07 17:29:53,30.83
2022-11-07 17:29:54,31.06
2022-11-07 17:29:55,30.96
2022-11-07 17:29:56,31.27
2022-11-07 17:29:57,31.17
