Timestamp,Active (W)
2022-11-09 10:00:06,65.42
2022-11-09 10:00:07,65.61
2022-11-09 10:00:08,65.54
2022-11-09 10:00:09,65.96
2022-11-09 10:00:10,65.51
2022-11-09 10:00:11,64.07
2022-11-09 10:00:12,65.2
2022-11-09 10:00:13,65.72
2022-11-09 10:00:14,64.89
2022-11-09 10:00:15,65.38
2022-11-09 10:00:16,65.11
2022-11-09 10:00:17,64.72
2022-11-09 10:00:18,65.53
2022-11-09 10:00:19,64.55
2022-11-09 10:00:20,65.73
2022-11-09 10:00:21,66.2
2022-11-09 10:00:22,65.78
2022-11-09 10:00:23,66.21
2022-11-09 10:00:24,65.87
2022-11-09 10:00:25,65.11
2022-11-09 10:00:26,65.71
2022-11-09 10:00:27,64.7
2022-11-09 10:00:28,64.74
2022-11-09 10:00:29,64.85
2022-11-09 10:00:30,65.26
2022-11-09 10:00:31,64.48
2022-11-09 10:00:32,65.08
2022-11-09 10:00:33,65.29
2022-11-09 10:00:34,64.45
2022-11-09 10:00:35,64.37
2022-11-09 10:00:36,64.46
2022-11-09 10:00:37,64.99
2022-11-09 10:00:38,64.44
2022-11-09 10:00:39,64.32
2022-11-09 10:00:40,64.33
2022-11-09 10:00:41,64.62
2022-11-09 10:00:42,64.89
2022-11-09 10:00:43,64.98
2022-11-09 10:00:44,65.37
2022-11-09 10:00:45,65.08
2022-11-09 10:00:46,64.68
2022-11-09 10:00:47,64.39
2022-11-09 10:00:48,64.7
2022-11-09 10:00:49,64.57
2022-11-09 10:00:50,64.56
2022-11-09 10:00:51,64.43
2022-11-09 10:00:52,64.85
2022-11-09 10:00:53,64.97
2022-11-09 10:00:54,64.71
2022-11-09 10:00:55,64.63
2022-11-09 10:00:56,64.48
2022-11-09 10:00:57,64.58
2022-11-09 10:00:58,64.73
2022-11-09 10:00:59,64.62
2022-11-09 10:01:00,64.93
2022-11-09 10:01:01,64.83
2022-11-09 10:01:02,65.22
2022-11-09 10:01:03,65.14
2022-11-09 10:01:04,65.05
2022-11-09 10:01:05,65.28
2022-11-09 10:01:06,65.12
2022-11-09 10:01:07,65.31
2022-11-09 10:01:08,65.37
2022-11-09 10:01:09,65.14
2022-11-09 10:01:10,65.09
2022-11-09 10:01:11,65.26
2022-11-09 10:01:12,65.63
2022-11-09 10:01:13,65.12
2022-11-09 10:01:14,64.95
2022-11-09 10:01:15,64.68
2022-11-09 10:01:16,64.6
2022-11-09 10:01:17,64.54
2022-11-09 10:01:18,64.36
2022-11-09 10:01:19,64.33
2022-11-09 10:01:20,64.66
2022-11-09 10:01:21,64.66
2022-11-09 10:01:22,64.46
2022-11-09 10:01:23,64.96
2022-11-09 10:01:24,65.0
2022-11-09 10:01:25,64.97
2022-11-09 10:01:26,64.68
2022-11-09 10:01:27,64.75
2022-11-09 10:01:28,64.42
2022-11-09 10:01:29,64.76
2022-11-09 10:01:30,64.94
2022-11-09 10:01:31,64.7
2022-11-09 10:01:32,64.74
2022-11-09 10:01:33,64.83
2022-11-09 10:01:34,64.91
2022-11-09 10:01:35,64.98
2022-11-09 10:01:36,65.15
2022-11-09 10:01:37,64.71
2022-11-09 10:01:38,64.69
2022-11-09 10:01:39,64.8
2022-11-09 10:01:40,64.92
2022-11-09 10:01:41,64.83
2022-11-09 10:01:42,64.85
2022-11-09 10:01:43,64.74
2022-11-09 10:01:44,64.84
2022-11-09 10:01:45,64.82
2022-11-09 10:01:46,64.91
2022-11-09 10:01:47,65.01
2022-11-09 10:01:48,65.08
2022-11-09 10:01:49,65.0
2022-11-09 10:01:50,64.83
2022-11-09 10:01:51,64.52
2022-11-09 10:01:52,64.92
2022-11-09 10:01:53,64.76
2022-11-09 10:01:54,65.0
2022-11-09 10:01:55,65.49
2022-11-09 10:01:56,65.26
2022-11-09 10:01:57,65.08
2022-11-09 10:01:58,64.84
2022-11-09 10:01:59,64.9
2022-11-09 10:02:00,64.93
2022-11-09 10:02:01,64.85
2022-11-09 10:02:02,64.69
2022-11-09 10:02:03,64.8
2022-11-09 10:02:04,64.67
2022-11-09 10:02:05,64.98
2022-11-09 10:02:06,64.81
2022-11-09 10:02:07,64.82
2022-11-09 10:02:08,64.99
2022-11-09 10:02:09,65.03
2022-11-09 10:02:10,65.07
2022-11-09 10:02:11,64.76
2022-11-09 10:02:12,65.14
2022-11-09 10:02:13,65.06
2022-11-09 10:02:14,65.13
2022-11-09 10:02:15,65.29
2022-11-09 10:02:16,65.27
2022-11-09 10:02:17,65.05
2022-11-09 10:02:18,65.07
2022-11-09 10:02:19,65.22
2022-11-09 10:02:20,65.17
2022-11-09 10:02:21,65.4
2022-11-09 10:02:22,65.1
2022-11-09 10:02:23,65.17
2022-11-09 10:02:24,65.09
2022-11-09 10:02:25,65.2
2022-11-09 10:02:26,65.09
2022-11-09 10:02:27,64.92
2022-11-09 10:02:28,64.94
2022-11-09 10:02:29,64.87
2022-11-09 10:02:30,64.75
2022-11-09 10:02:31,65.07
2022-11-09 10:02:32,64.83
2022-11-09 10:02:33,64.91
2022-11-09 10:02:34,64.87
2022-11-09 10:02:35,64.64
2022-11-09 10:02:36,64.65
2022-11-09 10:02:37,64.77
2022-11-09 10:02:38,65.08
2022-11-09 10:02:39,64.75
2022-11-09 10:02:40,65.0
2022-11-09 10:02:41,64.87
2022-11-09 10:02:42,64.96
2022-11-09 10:02:43,64.91
2022-11-09 10:02:44,64.92
2022-11-09 10:02:45,64.94
2022-11-09 10:02:46,64.98
2022-11-09 10:02:47,64.69
2022-11-09 10:02:48,64.72
2022-11-09 10:02:49,64.71
2022-11-09 10:02:50,65.1
2022-11-09 10:02:51,65.02
2022-11-09 10:02:52,64.94
2022-11-09 10:02:53,65.28
2022-11-09 10:02:54,64.9
2022-11-09 10:02:55,65.1
2022-11-09 10:02:56,64.81
2022-11-09 10:02:57,64.57
