Timestamp,Active (W)
2022-09-29 10:59:48,0.0
2022-09-29 10:59:49,0.0
2022-09-29 10:59:50,0.0
2022-09-29 10:59:51,0.01
2022-09-29 10:59:52,0.0
2022-09-29 10:59:53,0.01
2022-09-29 10:59:54,0.02
2022-09-29 10:59:55,0.02
2022-09-29 10:59:56,0.03
2022-09-29 10:59:57,0.03
2022-09-29 10:59:58,0.05
2022-09-29 10:59:59,0.05
2022-09-29 11:00:00,0.05
2022-09-29 11:00:01,0.08
2022-09-29 11:00:02,0.07
2022-09-29 11:00:03,0.09
2022-09-29 11:00:04,0.1
2022-09-29 11:00:05,0.12
2022-09-29 11:00:06,0.13
2022-09-29 11:00:07,0.14
2022-09-29 11:00:08,0.14
2022-09-29 11:00:09,0.16
2022-09-29 11:00:10,0.18
2022-09-29 11:00:11,0.18
2022-09-29 11:00:12,0.2
2022-09-29 11:00:13,0.23
2022-09-29 11:00:14,0.25
2022-09-29 11:00:15,0.28
2022-09-29 11:00:16,0.31
2022-09-29 11:00:17,0.28
2022-09-29 11:00:18,0.33
2022-09-29 11:00:19,0.29
2022-09-29 11:00:20,0.34
2022-09-29 11:00:21,0.37
2022-09-29 11:00:22,0.34
2022-09-29 11:00:23,0.34
2022-09-29 11:00:24,0.38
2022-09-29 11:00:25,0.35
2022-09-29 11:00:26,0.4
2022-09-29 11:00:27,0.37
2022-09-29 11:00:28,0.4
2022-09-29 11:00:29,0.44
2022-09-29 11:00:30,0.33
2022-09-29 11:00:31,0.24
2022-09-29 11:00:32,0.29
2022-09-29 11:00:33,0.28
2022-09-29 11:00:34,0.32
2022-09-29 11:00:35,0.34
2022-09-29 11:00:36,0.38
2022-09-29 11:00:37,0.4
2022-09-29 11:00:38,0.45
2022-09-29 11:00:39,0.45
2022-09-29 11:00:40,0.49
2022-09-29 11:00:41,0.51
2022-09-29 11:00:42,0.55
2022-09-29 11:00:43,0.59
2022-09-29 11:00:44,0.62
2022-09-29 11:00:45,0.65
2022-09-29 11:00:46,0.67
2022-09-29 11:00:47,0.75
2022-09-29 11:00:48,0.77
2022-09-29 11:00:49,0.77
2022-09-29 11:00:50,0.9
2022-09-29 11:00:51,0.83
2022-09-29 11:00:52,0.91
2022-09-29 11:00:53,0.94
2022-09-29 11:00:54,1.0
2022-09-29 11:00:55,0.97
2022-09-29 11:00:56,1.06
2022-09-29 11:00:57,1.04
2022-09-29 11:00:58,1.02
2022-09-29 11:00:59,1.08
2022-09-29 11:01:00,1.11
2022-09-29 11:01:01,1.16
2022-09-29 11:01:02,87.55
2022-09-29 11:01:03,693.77
2022-09-29 11:01:04,693.44
2022-09-29 11:01:05,693.88
2022-09-29 11:01:06,693.21
2022-09-29 11:01:07,693.01
2022-09-29 11:01:08,692.75
2022-09-29 11:01:09,692.36
2022-09-29 11:01:10,691.63
2022-09-29 11:01:11,691.55
2022-09-29 11:01:12,691.57
2022-09-29 11:01:13,691.36
2022-09-29 11:01:14,691.39
2022-09-29 11:01:15,691.41
2022-09-29 11:01:16,692.22
2022-09-29 11:01:17,691.41
2022-09-29 11:01:18,692.04
2022-09-29 11:01:19,692.62
2022-09-29 11:01:20,691.66
2022-09-29 11:01:21,690.04
2022-09-29 11:01:22,690.17
2022-09-29 11:01:23,690.07
2022-09-29 11:01:24,690.05
2022-09-29 11:01:25,689.44
2022-09-29 11:01:26,689.38
2022-09-29 11:01:27,689.55
2022-09-29 11:01:28,689.71
2022-09-29 11:01:29,689.34
2022-09-29 11:01:30,689.66
2022-09-29 11:01:31,689.63
2022-09-29 11:01:32,689.58
2022-09-29 11:01:33,690.17
2022-09-29 11:01:34,690.15
2022-09-29 11:01:35,690.03
2022-09-29 11:01:36,691.06
2022-09-29 11:01:37,690.81
2022-09-29 11:01:38,690.63
2022-09-29 11:01:39,691.89
2022-09-29 11:01:40,691.36
2022-09-29 11:01:41,691.46
2022-09-29 11:01:42,692.2
2022-09-29 11:01:43,692.03
2022-09-29 11:01:44,692.21
2022-09-29 11:01:45,692.25
2022-09-29 11:01:46,693.03
2022-09-29 11:01:47,693.41
2022-09-29 11:01:48,693.39
2022-09-29 11:01:49,693.5
2022-09-29 11:01:50,692.41
2022-09-29 11:01:51,697.69
2022-09-29 11:01:52,707.04
2022-09-29 11:01:53,707.82
2022-09-29 11:01:54,708.69
2022-09-29 11:01:55,708.74
2022-09-29 11:01:56,710.06
2022-09-29 11:01:57,710.37
2022-09-29 11:01:58,710.12
2022-09-29 11:01:59,710.28
2022-09-29 11:02:00,709.42
2022-09-29 11:02:01,708.88
2022-09-29 11:02:02,709.18
2022-09-29 11:02:03,709.48
2022-09-29 11:02:04,708.97
2022-09-29 11:02:05,709.3
2022-09-29 11:02:06,708.91
2022-09-29 11:02:07,709.32
2022-09-29 11:02:08,708.44
2022-09-29 11:02:09,709.54
2022-09-29 11:02:10,709.71
2022-09-29 11:02:11,55.38
2022-09-29 11:02:12,12.73
2022-09-29 11:02:13,12.76
2022-09-29 11:02:14,12.76
2022-09-29 11:02:15,12.88
2022-09-29 11:02:16,12.78
2022-09-29 11:02:17,12.65
2022-09-29 11:02:18,12.69
2022-09-29 11:02:19,12.78
2022-09-29 11:02:20,12.89
2022-09-29 11:02:21,13.1
2022-09-29 11:02:22,13.14
2022-09-29 11:02:23,13.3
2022-09-29 11:02:24,13.41
