Timestamp,Active (W)
2022-11-08 11:38:23,11.03
2022-11-08 11:38:24,11.06
2022-11-08 11:38:25,11.02
2022-11-08 11:38:26,11.05
2022-11-08 11:38:27,11.09
2022-11-08 11:38:28,11.13
2022-11-08 11:38:29,11.1
2022-11-08 11:38:30,11.14
2022-11-08 11:38:31,11.13
2022-11-08 11:38:32,11.11
2022-11-08 11:38:33,11.31
2022-11-08 11:38:34,11.56
2022-11-08 11:38:35,11.52
2022-11-08 11:38:36,11.47
2022-11-08 11:38:37,11.31
2022-11-08 11:38:38,11.36
2022-11-08 11:38:39,11.35
2022-11-08 11:38:40,11.33
2022-11-08 11:38:41,11.26
2022-11-08 11:38:42,11.32
2022-11-08 11:38:43,11.37
2022-11-08 11:38:44,11.33
2022-11-08 11:38:45,11.5
2022-11-08 11:38:46,11.55
2022-11-08 11:38:47,11.48
2022-11-08 11:38:48,11.45
2022-11-08 11:38:49,11.54
2022-11-08 11:38:50,52.3
2022-11-08 11:38:51,19.75
2022-11-08 11:38:52,19.26
2022-11-08 11:38:53,19.57
2022-11-08 11:38:54,19.89
2022-11-08 11:38:55,18.43
2022-11-08 11:38:56,52.85
2022-11-08 11:38:57,23.85
2022-11-08 11:38:58,38.25
2022-11-08 11:38:59,32.1
2022-11-08 11:39:00,35.9
2022-11-08 11:39:01,38.63
2022-11-08 11:39:02,34.39
2022-11-08 11:39:03,40.89
2022-11-08 11:39:04,20.0
2022-11-08 11:39:05,20.45
2022-11-08 11:39:06,20.09
2022-11-08 11:39:07,20.1
2022-11-08 11:39:08,20.09
2022-11-08 11:39:09,20.35
2022-11-08 11:39:10,19.99
2022-11-08 11:39:11,19.74
2022-11-08 11:39:12,20.1
2022-11-08 11:39:13,19.93
2022-11-08 11:39:14,20.16
2022-11-08 11:39:15,19.96
2022-11-08 11:39:16,20.03
2022-11-08 11:39:17,20.17
2022-11-08 11:39:18,20.06
2022-11-08 11:39:19,19.91
2022-11-08 11:39:20,19.83
2022-11-08 11:39:21,19.86
2022-11-08 11:39:22,19.77
2022-11-08 11:39:23,20.07
2022-11-08 11:39:24,20.03
2022-11-08 11:39:25,20.01
2022-11-08 11:39:26,20.14
2022-11-08 11:39:27,19.95
2022-11-08 11:39:28,20.16
2022-11-08 11:39:29,20.34
2022-11-08 11:39:30,19.98
