Timestamp,Apparent (VA),Active (W)
2022-09-27 15:52:32,22.12,16.25
2022-09-27 15:52:33,22.13,16.54
2022-09-27 15:52:34,22.46,16.42
2022-09-27 15:52:35,22.22,16.38
2022-09-27 15:52:36,22.32,16.5
2022-09-27 15:52:37,22.25,16.52
2022-09-27 15:52:38,22.69,16.83
2022-09-27 15:52:39,22.6,16.59
2022-09-27 15:52:40,22.68,16.93
2022-09-27 15:52:41,22.13,16.21
2022-09-27 15:52:42,22.59,16.89
2022-09-27 15:52:43,21.89,16.21
2022-09-27 15:52:44,21.88,15.84
2022-09-27 15:52:45,22.11,16.12
2022-09-27 15:52:46,21.66,15.73
2022-09-27 15:52:47,22.21,16.38
2022-09-27 15:52:48,22.34,16.48
2022-09-27 15:52:49,21.74,15.86
2022-09-27 15:52:50,21.79,15.98
2022-09-27 15:52:51,22.01,15.78
2022-09-27 15:52:52,21.83,15.87
2022-09-27 15:52:53,22.43,16.46
2022-09-27 15:52:54,22.42,16.47
2022-09-27 15:52:55,22.44,16.77
2022-09-27 15:52:56,22.43,16.45
2022-09-27 15:52:57,21.77,15.8
2022-09-27 15:52:58,22.39,16.6
2022-09-27 15:52:59,22.53,16.65
2022-09-27 15:53:00,22.85,17.01
2022-09-27 15:53:01,22.24,16.39
2022-09-27 15:53:02,22.58,16.83
2022-09-27 15:53:03,22.71,16.68
2022-09-27 15:53:04,21.88,15.94
2022-09-27 15:53:05,22.54,16.36
2022-09-27 15:53:06,21.47,15.54
2022-09-27 15:53:07,20.77,14.81
2022-09-27 15:53:08,21.18,14.95
2022-09-27 15:53:09,21.94,15.68
2022-09-27 15:53:10,21.73,15.63
2022-09-27 15:53:11,21.62,15.47
2022-09-27 15:53:12,21.89,16.08
2022-09-27 15:53:13,22.69,16.97
2022-09-27 15:53:14,22.3,16.37
2022-09-27 15:53:15,22.75,16.89
2022-09-27 15:53:16,22.39,16.41
2022-09-27 15:53:17,22.07,16.07
2022-09-27 15:53:18,21.88,15.97
2022-09-27 15:53:19,22.29,16.23
2022-09-27 15:53:20,22.04,15.96
2022-09-27 15:53:21,21.51,15.64
2022-09-27 15:53:22,22.4,16.41
2022-09-27 15:53:23,22.57,16.68
2022-09-27 15:53:24,22.54,16.49
2022-09-27 15:53:25,22.84,17.03
2022-09-27 15:53:26,23.05,17.15
2022-09-27 15:53:27,22.61,16.74
2022-09-27 15:53:28,22.87,17.1
2022-09-27 15:53:29,22.69,16.65
2022-09-27 15:53:30,22.19,16.2
2022-09-27 15:53:31,22.58,16.76
2022-09-27 15:53:32,22.46,16.81
2022-09-27 15:53:33,22.52,16.5
2022-09-27 15:53:34,22.99,17.1
2022-09-27 15:53:35,22.49,16.65
2022-09-27 15:53:36,22.48,16.42
2022-09-27 15:53:37,21.97,16.04
2022-09-27 15:53:38,22.56,16.5
2022-09-27 15:53:39,22.13,16.13
2022-09-27 15:53:40,22.29,16.25
2022-09-27 15:53:41,21.87,15.93
2022-09-27 15:53:42,22.51,16.61
2022-09-27 15:53:43,21.84,15.87
2022-09-27 15:53:44,22.9,17.06
2022-09-27 15:53:45,22.57,16.81
2022-09-27 15:53:46,21.9,15.66
2022-09-27 15:53:47,22.36,16.23
2022-09-27 15:53:48,22.43,16.57
2022-09-27 15:53:49,22.54,16.61
2022-09-27 15:53:50,22.5,16.55
2022-09-27 15:53:51,21.76,15.72
2022-09-27 15:53:52,21.2,15.16
2022-09-27 15:53:53,21.19,15.12
2022-09-27 15:53:54,21.21,15.1
2022-09-27 15:53:55,21.74,15.5
2022-09-27 15:53:56,20.99,14.79
2022-09-27 15:53:57,20.97,14.86
2022-09-27 15:53:58,21.01,14.83
2022-09-27 15:53:59,21.76,15.77
2022-09-27 15:54:00,21.19,15.0
2022-09-27 15:54:01,21.45,15.33
2022-09-27 15:54:02,20.97,14.9
2022-09-27 15:54:03,891.04,887.2
2022-09-27 15:54:04,2144.02,2143.75
2022-09-27 15:54:05,2143.22,2142.95
2022-09-27 15:54:06,2141.79,2141.51
2022-09-27 15:54:07,2137.84,2137.56
2022-09-27 15:54:08,2133.97,2133.68
2022-09-27 15:54:09,2131.74,2131.46
2022-09-27 15:54:10,2131.95,2131.66
2022-09-27 15:54:11,2131.92,2131.64
2022-09-27 15:54:12,2134.09,2133.81
2022-09-27 15:54:13,2135.28,2134.99
2022-09-27 15:54:14,2135.23,2134.94
2022-09-27 15:54:15,2132.5,2132.21
2022-09-27 15:54:16,2129.84,2129.55
2022-09-27 15:54:17,2130.45,2130.16
2022-09-27 15:54:18,2131.92,2131.63
2022-09-27 15:54:19,2134.21,2133.92
2022-09-27 15:54:20,2135.29,2135.01
2022-09-27 15:54:21,2135.79,2135.5
2022-09-27 15:54:22,2134.22,2133.91
2022-09-27 15:54:23,2132.27,2131.98
2022-09-27 15:54:24,2132.47,2132.19
2022-09-27 15:54:25,2132.5,2132.22
2022-09-27 15:54:26,2133.7,2133.42
2022-09-27 15:54:27,2136.92,2136.64
2022-09-27 15:54:28,2139.01,2138.72
2022-09-27 15:54:29,2138.24,2137.95
2022-09-27 15:54:30,2137.24,2136.96
2022-09-27 15:54:31,2135.48,2135.2
