Timestamp,Active (W)
2022-11-07 16:01:27,116.45
2022-11-07 16:01:28,116.49
2022-11-07 16:01:29,117.67
2022-11-07 16:01:30,117.42
2022-11-07 16:01:31,116.75
2022-11-07 16:01:32,116.92
2022-11-07 16:01:33,117.35
2022-11-07 16:01:34,116.96
2022-11-07 16:01:35,117.34
2022-11-07 16:01:36,117.51
2022-11-07 16:01:37,117.18
2022-11-07 16:01:38,117.16
2022-11-07 16:01:39,117.07
2022-11-07 16:01:40,116.7
2022-11-07 16:01:41,117.18
2022-11-07 16:01:42,116.56
2022-11-07 16:01:43,116.69
2022-11-07 16:01:44,117.26
2022-11-07 16:01:45,117.09
2022-11-07 16:01:46,117.05
2022-11-07 16:01:47,116.45
2022-11-07 16:01:48,116.97
2022-11-07 16:01:49,116.83
2022-11-07 16:01:50,116.43
2022-11-07 16:01:51,117.22
2022-11-07 16:01:52,117.02
2022-11-07 16:01:53,117.14
2022-11-07 16:01:54,116.65
2022-11-07 16:01:55,117.0
2022-11-07 16:01:56,116.88
2022-11-07 16:01:57,117.1
2022-11-07 16:01:58,116.9
2022-11-07 16:01:59,116.62
2022-11-07 16:02:00,116.72
2022-11-07 16:02:01,116.44
2022-11-07 16:02:02,117.15
2022-11-07 16:02:03,117.55
2022-11-07 16:02:04,117.3
2022-11-07 16:02:05,117.27
2022-11-07 16:02:06,117.29
2022-11-07 16:02:07,116.62
2022-11-07 16:02:08,116.89
2022-11-07 16:02:09,116.72
2022-11-07 16:02:10,117.28
2022-11-07 16:02:11,116.74
2022-11-07 16:02:12,117.63
2022-11-07 16:02:13,116.89
2022-11-07 16:02:14,116.85
2022-11-07 16:02:15,117.17
2022-11-07 16:02:16,116.99
2022-11-07 16:02:17,117.5
2022-11-07 16:02:18,117.75
2022-11-07 16:02:19,117.24
2022-11-07 16:02:20,116.65
2022-11-07 16:02:21,116.13
2022-11-07 16:02:22,116.84
2022-11-07 16:02:23,116.74
2022-11-07 16:02:24,117.02
2022-11-07 16:02:25,116.72
2022-11-07 16:02:26,115.79
2022-11-07 16:02:27,116.1
2022-11-07 16:02:28,116.17
2022-11-07 16:02:29,116.44
2022-11-07 16:02:30,116.08
2022-11-07 16:02:31,115.92
2022-11-07 16:02:32,116.02
2022-11-07 16:02:33,115.69
2022-11-07 16:02:34,115.92
2022-11-07 16:02:35,115.99
2022-11-07 16:02:36,116.46
2022-11-07 16:02:37,115.95
2022-11-07 16:02:38,116.12
2022-11-07 16:02:39,116.09
2022-11-07 16:02:40,115.69
2022-11-07 16:02:41,115.31
2022-11-07 16:02:42,115.99
2022-11-07 16:02:43,116.3
2022-11-07 16:02:44,116.18
2022-11-07 16:02:45,115.78
2022-11-07 16:02:46,116.08
2022-11-07 16:02:47,116.08
2022-11-07 16:02:48,116.23
2022-11-07 16:02:49,115.64
2022-11-07 16:02:50,115.55
2022-11-07 16:02:51,114.97
2022-11-07 16:02:52,116.16
2022-11-07 16:02:53,116.19
