Timestamp,Active (W)
2022-11-08 10:39:23,11.07
2022-11-08 10:39:24,11.32
2022-11-08 10:39:25,11.33
2022-11-08 10:39:26,11.3
2022-11-08 10:39:27,11.23
2022-11-08 10:39:28,11.39
2022-11-08 10:39:29,11.22
2022-11-08 10:39:30,11.36
2022-11-08 10:39:31,11.33
2022-11-08 10:39:32,11.41
2022-11-08 10:39:33,57.21
2022-11-08 10:39:34,19.99
2022-11-08 10:39:35,20.55
2022-11-08 10:39:36,20.98
2022-11-08 10:39:37,20.39
2022-11-08 10:39:38,19.55
2022-11-08 10:39:39,19.24
2022-11-08 10:39:40,19.4
2022-11-08 10:39:41,19.66
2022-11-08 10:39:42,19.53
2022-11-08 10:39:43,19.67
2022-11-08 10:39:44,19.26
2022-11-08 10:39:45,19.39
2022-11-08 10:39:46,19.57
2022-11-08 10:39:47,19.38
2022-11-08 10:39:48,19.51
2022-11-08 10:39:49,19.26
2022-11-08 10:39:50,19.22
2022-11-08 10:39:51,19.27
2022-11-08 10:39:52,19.01
2022-11-08 10:39:53,19.18
2022-11-08 10:39:54,32.84
2022-11-08 10:39:55,47.21
2022-11-08 10:39:56,21.21
2022-11-08 10:39:57,50.12
2022-11-08 10:39:58,19.23
2022-11-08 10:39:59,54.4
2022-11-08 10:40:00,19.28
2022-11-08 10:40:01,50.31
2022-11-08 10:40:02,20.61
2022-11-08 10:40:03,20.48
2022-11-08 10:40:04,20.54
2022-11-08 10:40:05,20.75
2022-11-08 10:40:06,20.74
2022-11-08 10:40:07,20.51
2022-11-08 10:40:08,20.65
2022-11-08 10:40:09,20.17
2022-11-08 10:40:10,20.31
2022-11-08 10:40:11,20.35
2022-11-08 10:40:12,20.25
2022-11-08 10:40:13,20.37
2022-11-08 10:40:14,20.32
2022-11-08 10:40:15,20.19
2022-11-08 10:40:16,20.24
2022-11-08 10:40:17,20.68
2022-11-08 10:40:18,20.51
2022-11-08 10:40:19,20.53
2022-11-08 10:40:20,20.34
2022-11-08 10:40:21,20.56
2022-11-08 10:40:22,20.58
2022-11-08 10:40:23,20.76
2022-11-08 10:40:24,20.62
2022-11-08 10:40:25,20.66
2022-11-08 10:40:26,20.42
2022-11-08 10:40:27,20.52
2022-11-08 10:40:28,20.58
2022-11-08 10:40:29,20.65
2022-11-08 10:40:30,20.68
