Timestamp,Active (W)
2022-11-09 11:35:48,0.0
2022-11-09 11:35:49,0.0
2022-11-09 11:35:50,0.0
2022-11-09 11:35:51,0.0
2022-11-09 11:35:52,0.0
2022-11-09 11:35:53,0.0
2022-11-09 11:35:54,0.0
2022-11-09 11:35:55,0.0
2022-11-09 11:35:56,0.0
2022-11-09 11:35:57,8.87
2022-11-09 11:35:58,94.52
2022-11-09 11:35:59,69.19
2022-11-09 11:36:00,14.93
2022-11-09 11:36:01,11.91
2022-11-09 11:36:02,10.73
2022-11-09 11:36:03,13.08
2022-11-09 11:36:04,12.2
2022-11-09 11:36:05,12.26
2022-11-09 11:36:06,12.09
2022-11-09 11:36:07,11.25
2022-11-09 11:36:08,11.72
2022-11-09 11:36:09,12.02
2022-11-09 11:36:10,11.51
2022-11-09 11:36:11,11.8
2022-11-09 11:36:12,19.05
2022-11-09 11:36:13,30.04
2022-11-09 11:36:14,31.08
2022-11-09 11:36:15,30.55
2022-11-09 11:36:16,31.1
2022-11-09 11:36:17,30.8
2022-11-09 11:36:18,30.87
2022-11-09 11:36:19,31.96
2022-11-09 11:36:20,31.69
2022-11-09 11:36:21,31.81
2022-11-09 11:36:22,31.84
2022-11-09 11:36:23,31.83
2022-11-09 11:36:24,32.04
2022-11-09 11:36:25,31.23
2022-11-09 11:36:26,31.94
2022-11-09 11:36:27,32.2
2022-11-09 11:36:28,32.52
2022-11-09 11:36:29,32.02
2022-11-09 11:36:30,32.41
2022-11-09 11:36:31,32.57
2022-11-09 11:36:32,32.34
2022-11-09 11:36:33,32.37
2022-11-09 11:36:34,32.41
2022-11-09 11:36:35,33.24
2022-11-09 11:36:36,31.77
2022-11-09 11:36:37,31.56
2022-11-09 11:36:38,31.57
2022-11-09 11:36:39,31.6
2022-11-09 11:36:40,31.62
2022-11-09 11:36:41,31.63
2022-11-09 11:36:42,31.68
2022-11-09 11:36:43,31.43
2022-11-09 11:36:44,31.59
2022-11-09 11:36:45,31.18
2022-11-09 11:36:46,31.69
2022-11-09 11:36:47,32.39
2022-11-09 11:36:48,32.41
2022-11-09 11:36:49,32.57
2022-11-09 11:36:50,32.76
2022-11-09 11:36:51,32.58
