Sample Rate,Sequence Length,Metric,Appliance,Seq2Point,Seq2Seq
1,99,f1score,air conditioner,0.0,0.0
1,99,f1score,electric water heating appliance,0.089949,0.10911
1,99,f1score,fridge,0.107429,0.081052
1,99,f1score,kettle,0.164545,0.12925
1,99,f1score,oven,0.072977,0.122743
1,99,f1score,tumble dryer,0.369373,0.750316
1,99,f1score,vacuum cleaner,0.060219,0.060239
1,99,f1score,washing machine,0.361427,0.361097
1,99,mae,air conditioner,122.50576,112.017174
1,99,mae,electric water heating appliance,245.213242,245.527298
1,99,mae,fridge,32.681736,31.727028
1,99,mae,kettle,220.897614,180.190659
1,99,mae,oven,227.083603,250.828598
1,99,mae,tumble dryer,232.032822,202.990967
1,99,mae,vacuum cleaner,138.513306,141.90213
1,99,mae,washing machine,20.976786,20.405577
1,99,nde,air conditioner,inf,inf
1,99,nde,electric water heating appliance,0.943008,0.935632
1,99,nde,fridge,0.995461,1.012672
1,99,nde,kettle,2.128957,1.867533
1,99,nde,oven,1.017637,1.007272
1,99,nde,tumble dryer,0.892415,0.89652
1,99,nde,vacuum cleaner,0.989854,1.054367
1,99,nde,washing machine,1.040406,0.995604
1,99,rmse,air conditioner,360.221948,285.513805
1,99,rmse,electric water heating appliance,858.824269,852.107021
1,99,rmse,fridge,53.909096,54.841132
1,99,rmse,kettle,646.392586,567.019124
1,99,rmse,oven,595.795818,589.727638
1,99,rmse,tumble dryer,514.511601,516.878401
1,99,rmse,vacuum cleaner,447.399448,476.558135
1,99,rmse,washing machine,33.234112,31.802981
1,199,f1score,air conditioner,0.0,0.0
1,199,f1score,electric water heating appliance,0.065777,0.108142
1,199,f1score,fridge,0.069727,0.078908
1,199,f1score,kettle,0.179203,0.166051
1,199,f1score,oven,0.142382,0.100623
1,199,f1score,tumble dryer,0.35558,0.367211
1,199,f1score,vacuum cleaner,0.07318,0.070276
1,199,f1score,washing machine,0.372155,0.392903
1,199,mae,air conditioner,150.92926,146.561981
1,199,mae,electric water heating appliance,256.101227,254.255997
1,199,mae,fridge,33.730221,31.56917
1,199,mae,kettle,205.379547,202.889786
1,199,mae,oven,250.377411,244.910004
1,199,mae,tumble dryer,251.011475,229.827087
